prospect_id,start_date,funnel_stage,access_channel,region,lead_source,days_interacted,services_interested,services_purchased,revenue,total_cost
2282,4/22/2025 7:00,Awareness,Mobile,Germany,Email,115,0,0,0,480
2282,4/22/2025 7:01,Interested,Mobile,Germany,Email,47,1,0,0,745
1995,8/9/2025 19:10,Awareness,Desktop,Germany,Email,35,0,0,0,680
1580,7/7/2025 0:26,Awareness,Desktop,UK,Direct,55,1,0,0,434
1580,7/7/2025 0:28,Interested,Desktop,UK,Direct,128,3,0,0,392
1912,8/9/2025 14:02,Awareness,Tablet,USA,Google,84,1,0,0,306
1912,8/9/2025 14:04,Interested,Tablet,USA,Google,118,3,0,0,747
1912,8/9/2025 14:07,Proposal & Negotiation,Tablet,USA,Google,128,1,0,0,545
1912,8/9/2025 14:08,Proposal & Negotiation,Tablet,USA,Google,57,4,0,0,404
1912,8/9/2025 14:10,Deal Signed,Tablet,USA,Google,122,2,1,5070,1880
2872,6/23/2025 22:52,Awareness,Mobile,USA,Social Media,119,0,0,0,773
2872,6/23/2025 22:53,Interested,Mobile,USA,Social Media,93,3,0,0,309
1983,7/12/2025 8:13,Awareness,Tablet,Canada,Direct,128,0,0,0,251
1983,7/12/2025 8:15,Interested,Tablet,Canada,Direct,121,2,0,0,253
1099,3/21/2025 12:20,Awareness,Mobile,Australia,Direct,119,1,0,0,667
1099,3/21/2025 12:22,Interested,Mobile,Australia,Direct,129,2,0,0,698
1099,3/21/2025 12:24,Proposal & Negotiation,Mobile,Australia,Direct,95,5,0,0,762
1099,3/21/2025 12:26,Proposal & Negotiation,Mobile,Australia,Direct,97,4,0,0,553
1563,5/2/2025 1:18,Awareness,Desktop,Germany,Google,122,0,0,0,602
1524,5/30/2025 0:12,Awareness,Desktop,India,Google,129,1,0,0,647
1524,5/30/2025 0:12,Interested,Desktop,India,Google,27,1,0,0,677
1524,5/30/2025 0:14,Proposal & Negotiation,Desktop,India,Google,114,5,0,0,628
1524,5/30/2025 0:15,Proposal & Negotiation,Desktop,India,Google,43,4,0,0,662
1524,5/30/2025 0:15,Deal Lost,Desktop,India,Google,46,5,0,0,707
1626,2/18/2025 11:25,Awareness,Tablet,UK,Direct,128,0,0,0,627
1626,2/18/2025 11:27,Interested,Tablet,UK,Direct,95,3,0,0,261
1626,2/18/2025 11:27,Proposal & Negotiation,Tablet,UK,Direct,30,1,0,0,743
1626,2/18/2025 11:29,Proposal & Negotiation,Tablet,UK,Direct,85,2,0,0,758
2521,5/21/2025 1:00,Awareness,Desktop,India,Social Media,128,0,0,0,455
1086,4/5/2025 2:30,Awareness,Desktop,Australia,Social Media,94,1,0,0,637
1200,5/4/2025 23:24,Awareness,Desktop,UK,Google,114,1,0,0,741
1200,5/4/2025 23:27,Interested,Desktop,UK,Google,129,1,0,0,474
1390,3/10/2025 8:18,Awareness,Desktop,Australia,Email,39,1,0,0,705
1121,8/7/2025 0:20,Awareness,Mobile,USA,Google,25,1,0,0,610
2865,7/11/2025 1:55,Awareness,Mobile,Germany,Social Media,80,0,0,0,305
2673,4/13/2025 9:15,Awareness,Desktop,UK,Email,32,0,0,0,208
2673,4/13/2025 9:16,Interested,Desktop,UK,Email,92,3,0,0,289
2673,4/13/2025 9:18,Proposal & Negotiation,Desktop,UK,Email,119,1,0,0,719
2673,4/13/2025 9:20,Proposal & Negotiation,Desktop,UK,Email,102,5,0,0,723
2673,4/13/2025 9:23,Deal Signed,Desktop,UK,Email,126,5,1,4910,1915
1035,2/4/2025 0:57,Awareness,Desktop,Australia,Social Media,126,1,0,0,237
1035,2/4/2025 0:57,Interested,Desktop,Australia,Social Media,46,2,0,0,234
1439,6/4/2025 19:27,Awareness,Tablet,USA,Email,124,0,0,0,368
1439,6/4/2025 19:30,Interested,Tablet,USA,Email,122,1,0,0,230
1439,6/4/2025 19:31,Proposal & Negotiation,Tablet,USA,Email,91,5,0,0,275
1439,6/4/2025 19:33,Proposal & Negotiation,Tablet,USA,Email,78,5,0,0,646
1439,6/4/2025 19:33,Deal Signed,Tablet,USA,Email,37,4,1,4640,1838
1609,6/27/2025 16:43,Awareness,Mobile,UK,Direct,129,0,0,0,708
1609,6/27/2025 16:45,Interested,Mobile,UK,Direct,119,1,0,0,377
2808,8/21/2025 18:07,Awareness,Desktop,France,Social Media,82,0,0,0,655
2808,8/21/2025 18:10,Interested,Desktop,France,Social Media,128,2,0,0,240
2808,8/21/2025 18:11,Proposal & Negotiation,Desktop,France,Social Media,61,3,0,0,769
2808,8/21/2025 18:13,Proposal & Negotiation,Desktop,France,Social Media,120,4,0,0,261
2808,8/21/2025 18:15,Deal Signed,Desktop,France,Social Media,119,5,3,22300,9364
1532,6/9/2025 14:55,Awareness,Tablet,Canada,Social Media,106,0,0,0,728
1532,6/9/2025 14:57,Interested,Tablet,Canada,Social Media,123,2,0,0,527
2816,1/24/2025 13:06,Awareness,Desktop,India,Email,19,0,0,0,546
1856,7/15/2025 22:13,Awareness,Desktop,India,Email,122,1,0,0,504
1856,7/15/2025 22:13,Interested,Desktop,India,Email,26,3,0,0,419
2771,2/18/2025 14:01,Awareness,Tablet,UK,Google,66,1,0,0,748
2771,2/18/2025 14:02,Interested,Tablet,UK,Google,60,2,0,0,521
1425,3/17/2025 6:59,Awareness,Tablet,USA,Direct,79,0,0,0,583
1425,3/17/2025 7:00,Interested,Tablet,USA,Direct,80,3,0,0,256
1979,6/3/2025 13:56,Awareness,Mobile,Germany,Social Media,122,0,0,0,501
1979,6/3/2025 13:56,Interested,Mobile,Germany,Social Media,34,1,0,0,774
1979,6/3/2025 13:58,Proposal & Negotiation,Mobile,Germany,Social Media,114,2,0,0,770
1979,6/3/2025 13:59,Proposal & Negotiation,Mobile,Germany,Social Media,67,3,0,0,646
1979,6/3/2025 14:00,Deal Signed,Mobile,Germany,Social Media,37,4,2,11840,5021
2596,2/16/2025 17:27,Awareness,Mobile,UK,Email,94,0,0,0,296
2950,7/10/2025 21:44,Awareness,Desktop,Australia,Email,69,1,0,0,666
2950,7/10/2025 21:47,Interested,Desktop,Australia,Email,129,1,0,0,445
2486,5/9/2025 13:10,Awareness,Desktop,USA,Email,128,1,0,0,727
1519,3/1/2025 18:53,Awareness,Desktop,Germany,Social Media,119,0,0,0,372
1519,3/1/2025 18:54,Interested,Desktop,Germany,Social Media,72,3,0,0,621
2282,8/30/2025 13:35,Awareness,Desktop,Germany,Email,31,1,0,0,625
2282,8/30/2025 13:36,Interested,Desktop,Germany,Email,78,3,0,0,763
2012,8/14/2025 15:12,Awareness,Desktop,India,Social Media,119,1,0,0,641
2012,8/14/2025 15:13,Interested,Desktop,India,Social Media,55,3,0,0,508
2012,8/14/2025 15:14,Proposal & Negotiation,Desktop,India,Social Media,74,3,0,0,579
2012,8/14/2025 15:16,Proposal & Negotiation,Desktop,India,Social Media,128,4,0,0,388
2012,8/14/2025 15:16,Deal Signed,Desktop,India,Social Media,24,1,1,7210,2561
1412,1/6/2025 22:18,Awareness,Tablet,Canada,Direct,80,1,0,0,220
1412,1/6/2025 22:18,Interested,Tablet,Canada,Direct,19,3,0,0,587
1412,1/6/2025 22:19,Proposal & Negotiation,Tablet,Canada,Direct,45,2,0,0,458
2277,3/5/2025 19:49,Awareness,Tablet,India,Google,126,1,0,0,498
2277,3/5/2025 19:49,Interested,Tablet,India,Google,29,2,0,0,743
2277,3/5/2025 19:52,Proposal & Negotiation,Tablet,India,Google,126,1,0,0,566
2277,3/5/2025 19:55,Proposal & Negotiation,Tablet,India,Google,128,2,0,0,663
2277,3/5/2025 19:57,Deal Lost,Tablet,India,Google,119,5,0,0,491
2279,3/17/2025 4:23,Awareness,Mobile,UK,Social Media,69,1,0,0,528
2279,3/17/2025 4:24,Interested,Mobile,UK,Social Media,75,2,0,0,427
2199,5/20/2025 22:42,Awareness,Mobile,UK,Direct,44,0,0,0,575
2199,5/20/2025 22:43,Interested,Mobile,UK,Direct,86,3,0,0,564
2502,2/2/2025 23:11,Awareness,Desktop,Germany,Social Media,17,1,0,0,774
2502,2/2/2025 23:11,Interested,Desktop,Germany,Social Media,38,1,0,0,464
2502,2/2/2025 23:12,Proposal & Negotiation,Desktop,Germany,Social Media,21,2,0,0,221
2502,2/2/2025 23:12,Proposal & Negotiation,Desktop,Germany,Social Media,17,4,0,0,599
2502,2/2/2025 23:15,Deal Signed,Desktop,Germany,Social Media,129,3,2,14870,5344
2266,8/7/2025 15:18,Awareness,Mobile,France,Social Media,27,1,0,0,552
2266,8/7/2025 15:20,Interested,Mobile,France,Social Media,122,1,0,0,364
2567,2/27/2025 2:03,Awareness,Tablet,Australia,Email,28,0,0,0,503
2567,2/27/2025 2:06,Interested,Tablet,Australia,Email,124,1,0,0,438
2567,2/27/2025 2:06,Proposal & Negotiation,Tablet,Australia,Email,27,2,0,0,265
2567,2/27/2025 2:09,Proposal & Negotiation,Tablet,Australia,Email,126,4,0,0,623
2567,2/27/2025 2:09,Deal Lost,Tablet,Australia,Email,29,3,0,0,463
2262,2/3/2025 2:46,Awareness,Mobile,Canada,Social Media,54,1,0,0,553
2262,2/3/2025 2:46,Interested,Mobile,Canada,Social Media,44,1,0,0,463
2262,2/3/2025 2:47,Proposal & Negotiation,Mobile,Canada,Social Media,72,4,0,0,472
2262,2/3/2025 2:48,Proposal & Negotiation,Mobile,Canada,Social Media,33,1,0,0,200
2262,2/3/2025 2:49,Deal Signed,Mobile,Canada,Social Media,90,3,3,17510,8268
1285,6/14/2025 11:02,Awareness,Desktop,France,Direct,122,0,0,0,711
1285,6/14/2025 11:04,Interested,Desktop,France,Direct,126,2,0,0,352
1285,6/14/2025 11:06,Proposal & Negotiation,Desktop,France,Direct,119,1,0,0,542
1285,6/14/2025 11:07,Proposal & Negotiation,Desktop,France,Direct,91,4,0,0,543
1285,6/14/2025 11:09,Deal Lost,Desktop,France,Direct,121,2,0,0,486
2436,1/15/2025 0:15,Awareness,Desktop,Germany,Email,100,1,0,0,542
2436,1/15/2025 0:17,Interested,Desktop,Germany,Email,111,2,0,0,516
2826,3/13/2025 16:04,Awareness,Mobile,Germany,Google,77,0,0,0,635
2826,3/13/2025 16:06,Interested,Mobile,Germany,Google,129,1,0,0,288
1091,3/11/2025 8:11,Awareness,Desktop,Canada,Email,119,1,0,0,347
2594,8/24/2025 23:07,Awareness,Desktop,USA,Email,119,0,0,0,300
1718,6/26/2025 15:44,Awareness,Mobile,Australia,Social Media,37,0,0,0,226
1718,6/26/2025 15:47,Interested,Mobile,Australia,Social Media,119,1,0,0,278
1621,8/1/2025 8:20,Awareness,Mobile,USA,Social Media,128,1,0,0,431
1621,8/1/2025 8:23,Interested,Mobile,USA,Social Media,128,3,0,0,307
2810,7/13/2025 2:29,Awareness,Desktop,Canada,Social Media,126,0,0,0,703
2810,7/13/2025 2:30,Interested,Desktop,Canada,Social Media,62,2,0,0,403
2022,3/12/2025 13:18,Awareness,Mobile,Australia,Social Media,121,0,0,0,326
2022,3/12/2025 13:19,Interested,Mobile,Australia,Social Media,73,2,0,0,239
2467,1/10/2025 1:15,Awareness,Desktop,Germany,Direct,108,0,0,0,740
2467,1/10/2025 1:15,Interested,Desktop,Germany,Direct,30,1,0,0,377
1453,1/24/2025 22:09,Awareness,Mobile,France,Google,129,1,0,0,641
1453,1/24/2025 22:12,Interested,Mobile,France,Google,128,3,0,0,792
1577,8/1/2025 15:43,Awareness,Tablet,Australia,Direct,114,0,0,0,381
1577,8/1/2025 15:43,Interested,Tablet,Australia,Direct,48,1,0,0,349
1577,8/1/2025 15:44,Proposal & Negotiation,Tablet,Australia,Direct,24,4,0,0,408
1264,4/19/2025 11:59,Awareness,Desktop,France,Email,119,0,0,0,676
1264,4/19/2025 12:01,Interested,Desktop,France,Email,110,3,0,0,617
1264,4/19/2025 12:02,Proposal & Negotiation,Desktop,France,Email,24,2,0,0,489
1264,4/19/2025 12:02,Proposal & Negotiation,Desktop,France,Email,25,5,0,0,608
1264,4/19/2025 12:02,Deal Signed,Desktop,France,Email,28,4,1,4400,1660
1202,5/9/2025 7:33,Awareness,Mobile,USA,Email,40,0,0,0,290
1202,5/9/2025 7:34,Interested,Mobile,USA,Email,54,1,0,0,336
1961,7/31/2025 15:29,Awareness,Mobile,India,Direct,128,1,0,0,504
1961,7/31/2025 15:30,Interested,Mobile,India,Direct,63,1,0,0,693
1343,7/17/2025 4:23,Awareness,Tablet,India,Email,56,1,0,0,391
1343,7/17/2025 4:26,Interested,Tablet,India,Email,128,2,0,0,245
2109,4/29/2025 10:09,Awareness,Desktop,France,Social Media,128,0,0,0,430
2109,4/29/2025 10:10,Interested,Desktop,France,Social Media,73,1,0,0,538
2109,4/29/2025 10:11,Proposal & Negotiation,Desktop,France,Social Media,18,2,0,0,411
1300,3/21/2025 17:21,Awareness,Mobile,France,Direct,74,0,0,0,463
1300,3/21/2025 17:21,Interested,Mobile,France,Direct,50,1,0,0,458
1300,3/21/2025 17:24,Proposal & Negotiation,Mobile,France,Direct,126,1,0,0,789
1300,3/21/2025 17:26,Proposal & Negotiation,Mobile,France,Direct,111,3,0,0,576
1300,3/21/2025 17:29,Deal Lost,Mobile,France,Direct,128,1,0,0,646
2621,6/22/2025 16:00,Awareness,Tablet,Germany,Google,28,1,0,0,379
2621,6/22/2025 16:02,Interested,Tablet,Germany,Google,119,2,0,0,662
2621,6/22/2025 16:05,Proposal & Negotiation,Tablet,Germany,Google,126,5,0,0,528
2705,2/20/2025 19:25,Awareness,Desktop,France,Social Media,116,0,0,0,688
2740,1/30/2025 7:01,Awareness,Mobile,UK,Email,17,0,0,0,351
2740,1/30/2025 7:02,Interested,Mobile,UK,Email,16,2,0,0,568
2740,1/30/2025 7:04,Proposal & Negotiation,Mobile,UK,Email,119,1,0,0,285
2540,1/16/2025 17:17,Awareness,Desktop,India,Google,55,1,0,0,731
2540,1/16/2025 17:18,Interested,Desktop,India,Google,112,3,0,0,606
2540,1/16/2025 17:20,Proposal & Negotiation,Desktop,India,Google,93,5,0,0,540
2540,1/16/2025 17:23,Proposal & Negotiation,Desktop,India,Google,129,5,0,0,475
2540,1/16/2025 17:25,Deal Signed,Desktop,India,Google,124,2,1,7000,2583
1022,1/19/2025 20:17,Awareness,Mobile,Germany,Google,122,1,0,0,482
2381,3/3/2025 9:26,Awareness,Mobile,Australia,Direct,119,0,0,0,641
2381,3/3/2025 9:28,Interested,Mobile,Australia,Direct,118,2,0,0,224
2993,3/7/2025 1:58,Awareness,Desktop,Australia,Google,109,0,0,0,416
2993,3/7/2025 1:58,Interested,Desktop,Australia,Google,22,1,0,0,693
2993,3/7/2025 1:59,Proposal & Negotiation,Desktop,Australia,Google,57,3,0,0,458
2713,1/1/2025 20:58,Awareness,Tablet,Germany,Email,90,1,0,0,535
2713,1/1/2025 20:59,Interested,Tablet,Germany,Email,28,1,0,0,240
1729,3/22/2025 4:55,Awareness,Tablet,Canada,Social Media,94,1,0,0,745
1729,3/22/2025 4:56,Interested,Tablet,Canada,Social Media,60,1,0,0,631
1729,3/22/2025 4:57,Proposal & Negotiation,Tablet,Canada,Social Media,72,5,0,0,200
2300,8/18/2025 5:49,Awareness,Mobile,USA,Direct,118,1,0,0,449
2300,8/18/2025 5:51,Interested,Mobile,USA,Direct,128,2,0,0,715
2300,8/18/2025 5:51,Proposal & Negotiation,Mobile,USA,Direct,29,4,0,0,457
2300,8/18/2025 5:52,Proposal & Negotiation,Mobile,USA,Direct,49,5,0,0,598
2300,8/18/2025 5:55,Deal Lost,Mobile,USA,Direct,128,5,0,0,418
1233,4/2/2025 11:24,Awareness,Desktop,USA,Email,36,1,0,0,756
1233,4/2/2025 11:25,Interested,Desktop,USA,Email,65,1,0,0,609
1984,4/14/2025 6:47,Awareness,Mobile,France,Direct,128,0,0,0,202
1984,4/14/2025 6:47,Interested,Mobile,France,Direct,42,3,0,0,310
1984,4/14/2025 6:49,Proposal & Negotiation,Mobile,France,Direct,102,3,0,0,370
1984,4/14/2025 6:51,Proposal & Negotiation,Mobile,France,Direct,117,4,0,0,528
1984,4/14/2025 6:54,Deal Lost,Mobile,France,Direct,129,4,0,0,374
1480,2/12/2025 23:06,Awareness,Desktop,Australia,Direct,69,0,0,0,356
1480,2/12/2025 23:08,Interested,Desktop,Australia,Direct,122,3,0,0,706
2791,1/10/2025 20:14,Awareness,Desktop,France,Social Media,90,1,0,0,217
2791,1/10/2025 20:15,Interested,Desktop,France,Social Media,58,1,0,0,697
2754,7/22/2025 13:46,Awareness,Tablet,UK,Social Media,15,1,0,0,428
2754,7/22/2025 13:46,Interested,Tablet,UK,Social Media,39,3,0,0,668
2525,2/28/2025 20:54,Awareness,Mobile,Canada,Social Media,66,0,0,0,699
2525,2/28/2025 20:57,Interested,Mobile,Canada,Social Media,119,3,0,0,640
1524,1/26/2025 20:08,Awareness,Desktop,UK,Google,119,1,0,0,306
1524,1/26/2025 20:09,Interested,Desktop,UK,Google,66,3,0,0,795
2173,1/2/2025 5:30,Awareness,Mobile,UK,Email,15,1,0,0,228
2173,1/2/2025 5:30,Interested,Mobile,UK,Email,30,2,0,0,639
2167,2/21/2025 13:57,Awareness,Mobile,Canada,Email,47,0,0,0,223
2167,2/21/2025 13:58,Interested,Mobile,Canada,Email,50,2,0,0,610
1774,7/30/2025 14:11,Awareness,Mobile,Canada,Google,122,1,0,0,503
1774,7/30/2025 14:12,Interested,Mobile,Canada,Google,32,2,0,0,664
1774,7/30/2025 14:14,Proposal & Negotiation,Mobile,Canada,Google,129,5,0,0,221
1774,7/30/2025 14:17,Proposal & Negotiation,Mobile,Canada,Google,122,2,0,0,302
1774,7/30/2025 14:17,Deal Signed,Mobile,Canada,Google,42,1,1,4960,1865
2713,1/30/2025 8:29,Awareness,Tablet,Canada,Direct,35,0,0,0,699
2713,1/30/2025 8:30,Interested,Tablet,Canada,Direct,64,3,0,0,789
2713,1/30/2025 8:31,Proposal & Negotiation,Tablet,Canada,Direct,54,3,0,0,800
2713,1/30/2025 8:33,Proposal & Negotiation,Tablet,Canada,Direct,122,3,0,0,535
2713,1/30/2025 8:34,Deal Signed,Tablet,Canada,Direct,50,1,1,7640,2467
2430,8/27/2025 10:04,Awareness,Desktop,Germany,Email,45,0,0,0,635
2430,8/27/2025 10:05,Interested,Desktop,Germany,Email,71,3,0,0,486
2488,6/22/2025 6:14,Awareness,Tablet,Canada,Social Media,129,0,0,0,797
2488,6/22/2025 6:15,Interested,Tablet,Canada,Social Media,72,3,0,0,387
1030,1/24/2025 1:46,Awareness,Tablet,UK,Email,21,0,0,0,523
1030,1/24/2025 1:48,Interested,Tablet,UK,Email,121,3,0,0,725
2803,3/7/2025 16:44,Awareness,Mobile,Germany,Email,79,0,0,0,585
2803,3/7/2025 16:45,Interested,Mobile,Germany,Email,22,2,0,0,267
2619,4/17/2025 22:20,Awareness,Tablet,UK,Direct,80,0,0,0,638
2619,4/17/2025 22:21,Interested,Tablet,UK,Direct,66,2,0,0,432
1385,8/9/2025 8:34,Awareness,Tablet,Germany,Email,128,1,0,0,467
1385,8/9/2025 8:35,Interested,Tablet,Germany,Email,44,1,0,0,230
1679,5/4/2025 20:49,Awareness,Tablet,UK,Social Media,119,0,0,0,520
1679,5/4/2025 20:51,Interested,Tablet,UK,Social Media,129,3,0,0,771
2114,2/10/2025 9:54,Awareness,Mobile,USA,Direct,39,1,0,0,404
2114,2/10/2025 9:57,Interested,Mobile,USA,Direct,129,3,0,0,533
2996,8/6/2025 5:01,Awareness,Tablet,UK,Social Media,119,0,0,0,484
2996,8/6/2025 5:03,Interested,Tablet,UK,Social Media,119,1,0,0,411
2996,8/6/2025 5:06,Proposal & Negotiation,Tablet,UK,Social Media,128,1,0,0,238
2996,8/6/2025 5:09,Proposal & Negotiation,Tablet,UK,Social Media,122,3,0,0,366
2996,8/6/2025 5:12,Deal Lost,Tablet,UK,Social Media,129,5,0,0,789
1976,7/4/2025 20:22,Awareness,Mobile,Germany,Social Media,126,1,0,0,324
1976,7/4/2025 20:24,Interested,Mobile,Germany,Social Media,128,1,0,0,549
1976,7/4/2025 20:26,Proposal & Negotiation,Mobile,Germany,Social Media,108,5,0,0,540
1976,7/4/2025 20:27,Proposal & Negotiation,Mobile,Germany,Social Media,88,1,0,0,647
1976,7/4/2025 20:30,Deal Signed,Mobile,Germany,Social Media,126,5,1,5230,1821
2762,3/22/2025 20:52,Awareness,Tablet,Germany,Email,128,0,0,0,578
2762,3/22/2025 20:52,Interested,Tablet,Germany,Email,40,3,0,0,584
2762,3/22/2025 20:54,Proposal & Negotiation,Tablet,Germany,Email,95,1,0,0,744
2875,4/14/2025 17:49,Awareness,Desktop,UK,Google,126,1,0,0,217
2875,4/14/2025 17:50,Interested,Desktop,UK,Google,42,1,0,0,270
2142,5/31/2025 18:23,Awareness,Mobile,Canada,Social Media,43,1,0,0,706
2142,5/31/2025 18:23,Interested,Mobile,Canada,Social Media,22,3,0,0,388
1156,7/10/2025 12:27,Awareness,Desktop,Germany,Social Media,45,1,0,0,789
1156,7/10/2025 12:29,Interested,Desktop,Germany,Social Media,128,1,0,0,753
1156,7/10/2025 12:30,Proposal & Negotiation,Desktop,Germany,Social Media,39,5,0,0,548
1156,7/10/2025 12:32,Proposal & Negotiation,Desktop,Germany,Social Media,108,5,0,0,459
1156,7/10/2025 12:33,Deal Lost,Desktop,Germany,Social Media,91,2,0,0,342
1471,4/16/2025 21:41,Awareness,Tablet,India,Email,129,1,0,0,433
1471,4/16/2025 21:43,Interested,Tablet,India,Email,119,1,0,0,367
2713,4/4/2025 21:24,Awareness,Mobile,USA,Direct,76,1,0,0,670
2168,7/2/2025 12:04,Awareness,Tablet,India,Email,90,0,0,0,640
2168,7/2/2025 12:07,Interested,Tablet,India,Email,129,3,0,0,272
2168,7/2/2025 12:09,Proposal & Negotiation,Tablet,India,Email,128,3,0,0,426
2126,6/9/2025 20:30,Awareness,Desktop,UK,Direct,57,1,0,0,512
2126,6/9/2025 20:32,Interested,Desktop,UK,Direct,99,1,0,0,258
2126,6/9/2025 20:32,Proposal & Negotiation,Desktop,UK,Direct,15,3,0,0,556
